title,lead-organisation,abstract,project-value,technology,funding,startdate,finishdate,finishdate-additional-information,closed,lat,lon,link
"Cane2Fuel: Feasibility of producing biofuel from sugarcane waste","BSES Limited (now Sugar Research Australia)","The Cane2Fuel project used an integrated approach to investigate the technical and commercial feasibility of producing biofuel from sugarcane bagasse, which is a by-product of the sugar production process.",1947985,Bioenergy,1266000,"December 2009","31 May 2012",,,-27.4978313,152.9725538,http://arena.govspace.gov.au/project/cane2fuel-feasibility-of-producing-biofuel-from-sugarcane-waste/
"Carnegie CETO 6 technology","Carnegie Wave Energy","This project will deploy the next generation of Carnegie's 100% owned and invented CETO wave energy technology.",46000000,"Ocean energy",13000000,"June 2014",,,,-32.2429551,115.6986301,http://arena.govspace.gov.au/project/carnegie-ceto-6-technology/
"Central receiver CPV pilot project - Stage 2","RayGen Resources Pty Ltd","This project demonstrated the world's first pre-commercial pilot of a central receiver system that uses solar photovoltaic (PV) energy conversion.",3600000,"Solar energy",1750000,"October 2013","May 2015",,,-36.7401231,143.8995131,http://arena.govspace.gov.au/project/central-receiver-cpv-pilot-project-stage-2/
"Characterising and forecasting grid connected solar energy","University of NSW","This project aims to significantly increase the amount of intermittent solar power used for electricity generation by developing tools that combine weather and climate forecasting with strategies to manage large amounts of solar and wind energy in the main electricity grid.",830000,"Solar energy",470284,"March 2010",,,,-33.8684869,151.2069902,http://arena.govspace.gov.au/project/characterising-and-forecasting-grid-connected-solar-energy/
"Clean Energy Australia - Annual Renewable Energy Industry Analysis","Clean Energy Council","This project will provide funding support for the Clean Energy Council to produce the Clean Energy Australia Report 2014.",199100,"Renewable energy industry capacity building",129100,"December 2014",,,,-37.8109046,144.9702971,http://arena.govspace.gov.au/project/clean-energy-australia-annual-renewable-energy-industry-analysis/
"Climate-based PV performance and reliability","Australian Photovoltaic Institute (APVI) (participants University of NSW, CAT Projects and Murdoch University)","This project will provide a publicly available, high quality PV performance database containing location-specific technical, operational and performance data.",579320,"Hybrid and enabling technologies",268320,"September 2012",,,,-33.9174103,151.2313068,http://arena.govspace.gov.au/project/climate-based-pv-performance-and-reliability/
"Commercialisation roadmap for perovskite solar cells","Dyesol Limited","This project is designed to deliver a 'commercialisation roadmap' that supports Dyesol's ambition to move to scalable manufacturing of efficient and reliable perovskite solar cell technology.",1421473,"Solar energy",449823,"September, 2015",,,,-35.3549182,149.2312511,http://arena.govspace.gov.au/project/commercialisation-roadmap-for-perovskite-solar-cells/
"Construction of 7 megawatt Engineered Geothermal System (EGS) Project","MNGI PTY LTD (Trading Name: Petratherm Limited)","<em>(Project closed 14 November 2014 - no funds were paid to Petratherm Limited) </em>This project involved the construction of a 7 megawatt EGS demonstration power station by installing a 3.5 megawatt turbine to each of two geothermal wells. ARENA's funding commitment was $24,520,833.",73000000,Geothermal,0,TBC,,,1,-30.25,139.5323333,http://arena.govspace.gov.au/project/construction-of-7-megawatt-engineered-geothermal-system-egs-project/
"Coober Pedy Renewable Diesel Hybrid","Energy Developments Ltd (EDL)","This project would install 2MW solar PV, 3MW wind generation and a range of additional proven technologies, integrated with Energy Developments Ltd's (EDL) existing 3.9MW diesel power station in Coober Pedy.",,"Hybrid and enabling technologies",18500000,"July 2014",,,,-29.0132437,134.7544819,http://arena.govspace.gov.au/project/coober-pedy-renewable-diesel-hybrid/
"Cooper Basin Enhanced Geothermal Systems Heat and Power Development","Geodynamics Limited","<em>(Project closed 10 December 2015)</em> While conventional geothermal power generation uses volcanic geology, Geodynamics is leading the development of a new technology called Enhanced Geothermal Systems (EGS).",144220000,Geothermal,32750000,"July 2010",,"Project closed 10 December 2015",1,-27.870038,140.702484,http://arena.govspace.gov.au/project/cooper-basin-enhanced-geothermal-systems-heat-and-power-development/
"Cost effective gallium arsenide phosphide top solar cell grown on a high performance, low cost silicon solar cell","University of NSW","The project aims to cut solar energy costs by developing a high voltage solar cell that will be 40% more efficient than solar cells being used today.",6310000,"Solar energy",2480000,"December 2011",,,,-33.8654869,151.2069902,http://arena.govspace.gov.au/project/cost-effective-gallium-arsenide-phosphide-top-solar-cell-grown-on-a-high-performance-low-cost-silicon-solar-cell/
"Daly River Solar Research Project","Power and Water Corporation","The key outcomes of the project are a Solar/Diesel Mini-grid Handbook and a mini-grid power system modelling tool.",853552,"Solar energy",462357,"July 2012","17 March 2014",,,-13.766118,130.710156,http://arena.govspace.gov.au/project/daly-river-solar-research-project/
"Data fusion and machine learning for geothermal target exploration and characterisation","National ICT Australia (NICTA)","The project took geothermal data from a wide variety of sources and used modern statistical methods to analyse the data. The resulting information and software can be used to improve exploration, discovery and characterisation methods for targeted geothermal exploration.",6594032,Geothermal,1878210,"7 March 2012","August 2014",,,-33.8774869,151.2079902,http://arena.govspace.gov.au/project/data-fusion-and-machine-learning-for-geothermal/
"DeGrussa solar project",Neoen,"The project involves the construction of a 10.6 MW solar PV installation with storage at the DeGrussa Copper Mine. Solar will provide the majority of the mine's daytime electricity requirements, offsetting more than 20% of total diesel consumption. The project aims to increase knowledge and confidence in the use of renewable energy to power off-grid mine sites.",40000000,"Solar energy",20900000,"July 2015",,,,-26.5912076,118.4967489,http://arena.govspace.gov.au/project/degrussa-solar-project/
"Delivering higher renewable penetration in new land and housing developments through off-grid microgrids","Brookfield Energy Australia Pty Limited","This project aims to explore the commercial viability and impact of renewable energy for large new housing developments with off-grid microgrids.",1100000,"Hybrid and enabling technologies",442000,"October 2015",,,,-32.4603502,150.7679216,http://arena.govspace.gov.au/project/delivering-higher-renewable-penetration-in-new-land-and-housing-developments-through-off-grid-microgrids/
"Demonstrate commercial production of bio-crude oil from biomass","Licella Pty Ltd","The project involved the design, construction and successful operation of a commercial demonstration facility for the conversion of inedible plant material (biomass) into a bio-crude oil with similar characteristics to traditional fossil crude.",3038000,Bioenergy,2288000,"December 2009","30 June 2012",,,-33.3582193,151.2902004,http://arena.govspace.gov.au/project/demonstrate-commercial-production-of-bio-crude-oil-from-biomass/
"Demonstrate higher efficiency third generation photovoltaics","University of NSW","This project aims to increase the efficiency of one type of third generation solar cell by increasing the number of layers of nanoscopic silicon crystals (silicon nanocrystals or Si NC) in silicon oxide and silicon nitride.",1600000,"Solar energy",500000,"April 2012",,,,-33.8664869,151.2059902,http://arena.govspace.gov.au/project/demonstrate-higher-efficiency-third-generation-photovoltaics/
"Demonstration of geothermal heat exchanger in hot sedimentary rocks","MNGI PTY LTD (Trading Name: Petratherm Limited)","This project initially aimed to drill two geothermal wells, fracture the ground and complete test flows.",,Geothermal,4200000,"May 2009",,,1,-30.25,139.5333333,http://arena.govspace.gov.au/project/demonstration-of-geothermal-heat-exchanger-in-hot-sedimentary-rocks/
"Development and commercialisation of high efficiency silicon solar cell technology","University of NSW (UNSW)","This project is the first to implement laboratory-proven advanced cell process technology at the Solar Industrial Research Facility (SIRF) at UNSW.",10000000,"Solar energy",3972980,"May 2014",,,,-33.8674869,151.2059902,http://arena.govspace.gov.au/project/development-and-commercialisation-of-high-efficiency-silicon-solar-cell-technology/
"Development of a testing facility for storing heat from solar energy at high temperatures","Barbara Hardy Institute at the University of South Australia","This project is establishing a world class facility to test newly-developed high temperature storage systems and technologies operating at up to 900 degrees Celcius.",2400000,"Solar energy",689500,"March 2012",,,,-34.92862119999999,138.5989594,http://arena.govspace.gov.au/project/development-of-a-testing-facility-for-storing-heat-from-solar-energy-at-high-temperatures/
"Development of an Australian solar map","Australian Photovoltaic Institute (participants University of NSW, CAT Projects, Sunwiz, SMA)","This project involves the development of an interactive live solar photovoltaic (PV) map that tracks the uptake and impact of PV across Australia.",590243,"Solar energy",443238,"September 2012",,,,-32.8929155,151.6983776,http://arena.govspace.gov.au/project/development-of-an-australian-solar-map/
"Development of combined cycle using solar reformed gas",CSIRO,"This project aimed to demonstrate the technical and economic feasibility of a combined cycle power plant fuelled with natural gas that has been 'upgraded' using solar thermal energy.",711897,"Solar energy",346907,"January 2013","23 October 2014",,,-32.8929155,151.6993776,http://arena.govspace.gov.au/project/development-of-combined-cycle-using-solar-reformed-gas/
"Doomadgee Solar Project","Ergon Energy","This project aims to demonstrate the technical viability and system reliability of a hybrid electricity system involving a large amount of solar photovoltaic (PV) energy with diesel generation. The project will integrate 1.26 MW of solar PV generation into the existing diesel power station that powers the Doomadgee community in remote Queensland.",11903277,"Solar energy",4650000,"July 2014",,,,-17.941667,138.828333,http://arena.govspace.gov.au/project/doomadgee-solar-project/
"Energy cost study for Bombora Wave Energy Converter","Bombora Wave Power","This review will detail the 'cost of electricity' for energy produced by Bombora's Wave Energy Converter (WEC) at a commercial scale, to confirm whether the device can operate as a commercially viable source of renewable energy.",363326,"Ocean energy",181663,"December 2015",,,,-32.0012402,115.9194718,http://arena.govspace.gov.au/project/energy-cost-study-for-bombora-wave-energy-converter/
"Energy Storage for Commercial Renewable Integration","AGL Pty Ltd","The Energy Storage for Commercial Renewable Integration (ESCRI) project is examining the role of medium to large scale (5-30MW) energy storage in the integration of renewable energy into the South Australian electricity system.",866297,"Hybrid and enabling technologies",445846,"August 2014",,,,-34.92862119999999,138.5999594,http://arena.govspace.gov.au/project/energy-storage-for-commercial-renewable-integration/
"Energy storage test facility and knowledge bank","University of Adelaide","University of Adelaide will build a mobile energy storage test facility and establish an online database for Australian energy storage expertise.

These resources will provide industry and researchers with a capability to independently test entire energy storage systems and with a central source for existing and future knowledge.",3264368,"Hybrid and enabling technologies",1441811,"May 2015",,,,-34.92862119999999,138.5999594,http://arena.govspace.gov.au/project/energy-storage-test-facility-and-knowledge-bank/
"Enhancing efficiencies in printed solar cells by controlling morphology development","University of Melbourne","This project successfully improved the production of effective and reliable, low-cost printed organic solar cells by controlling the way the organic components in the cell align with each other at a microscopic (molecular) level during the ink drying process.",1213000,"Solar energy",500000,"April 2012","28 August 2014",,,-37.814107,144.96328,http://arena.govspace.gov.au/project/enhancing-efficiencies-in-printed-solar-cells-by-controlling-morphology-development-2/
"Establishing a South East Region of Renewable Energy Excellence Industry Cluster","Regional Development Australia ACT Incorporated","Regional Development Australia ACT (RDA ACT) is leading the establishment of a Regional Renewable Energy Industry Cluster in the south east NSW-ACT region as part of the South East Region of Renewable Energy Excellence (SERREE) initiative.",728000,"Renewable energy industry capacity building",305000,"November 2014",,,,-35.282,149.128684,http://arena.govspace.gov.au/project/establishing-a-south-east-region-of-renewable-energy-excellence-industry-cluster/
"Fabrication of thermionic device using advanced ceramics","University of Newcastle","This project created a working prototype of a device called a thermionic energy converter, which directly converts the heat generated by concentrated sunlight into electricity. The device uses advanced ceramic materials that are able to operate at high temperatures thereby providing a greater conversion efficiency that reduces the cost of solar electricity.",705926,"Solar energy",515360,"March 2010","31 May 2014",,,-32.925689,151.7779205,http://arena.govspace.gov.au/project/fabrication-of-thermionic-device-using-advanced-ceramics/
"Feasibility study for Perenjori 20MW Dispatchable Solar Tower Project","Abengoa Solar","A feasibility study into the construction of a 20 MWe solar thermal power station which would employ Abengoa's molten salt tower technology with a thermal energy storage system.",899436,"Solar energy",449718,"March 2014",,,,-29.4423983,116.2874342,http://arena.govspace.gov.au/project/feasibility-study-for-perenjori-20mw-dispatchable-solar-tower-project/
"Feasibility study into conversion of Collinsville Power Station from coal to hybrid solar thermal/gas","RATCH-Australia Corporation Limited","This project assessed the viability of converting the existing 180 MW coal-fired Collinsville Power Station in Queensland to a 30 MW hybrid solar thermal/gas power station. It was ultimately determined that a project was not feasible at the current time due to excessive capital costs.",3283910,"Solar energy",2150000,"January 2013","November, 2014",,,-20.5530485,147.8443104,http://arena.govspace.gov.au/project/feasibility-study-into-conversion-of-collinsville-power-station-from-coal-to-hybrid-solar-thermalgas/
"Flinders Island Hybrid Energy Hub","Hydro Tasmania","The project aims to use a combination of solar, wind, diesel, storage and enabling technologies to displace more than 60% of Flinders Island's diesel generated energy. Hydro Tasmania will develop a modular hybrid energy solution with the potential to further drive down costs and move a step closer to delivering a commercially competitive product.",12800000,"Hybrid and enabling technologies",5500000,"February 2015",,,,-39.9836386,148.052689,http://arena.govspace.gov.au/project/flinders-island-hybrid-energy-hub/
"Forecasting distributed solar energy production","Australian National University (ANU)","This project is conducting real-time analysis of some of the 650,000 residential solar photovoltaic (PV) systems widely distributed throughout Australia.",2700000,"Solar energy",799522,"January 2013",,,,-35.279,149.118527,http://arena.govspace.gov.au/project/forecasting-distributed-solar-energy-production/
"Future proofing in Australia's Electricity Distribution Industry","Clean Energy Council","This project aims to enhance the flexibility and resilience of Australia's electricity distribution system. The Clean Energy Council will conduct extensive consultations with industry, government, regulators and consumers, and commission technical, economic and regulatory analysis",877900,"Hybrid and enabling technologies",877900,"May 2014",,,,-37.97841,145.206401,http://arena.govspace.gov.au/project/future-proofing-in-australias-electricity-distribution-industry/
"Generating renewable energy from almond waste","Almond Board of Australia Inc","This project analysed the commercial viability of generating renewable energy from almond waste.",60000,Bioenergy,32100,"June 2012","16 November 2012",,,-34.2852369,140.6022954,http://arena.govspace.gov.au/project/generating-renewable-energy-from-almond-waste/
"High efficiency, multi-junction CPV solar cells on low cost large area silicon substrates","Solar Systems Pty Ltd","This project is developing virtual germanium (Ge) and germanium-tin (Ge-Sn) on silicon wafers for the next generation of multiple-junction solar cells, which are low in cost but highly efficient, meaning they can convert more energy from sunlight than most other solar cells.",5200000,"Solar energy",2000000,"June 2012",,,,-37.8010469,144.9698607,http://arena.govspace.gov.au/project/high-efficiency-multi-junction-cpv-solar-cells-on-low-cost-large-area-silicon-substrates/
"High-efficiency silicon/perovskite solar cells","University of New South Wales","Perovskite cells have only emerged as a viable photovoltaic material over the past two years. This will be the first time a tandem, stacked approach has been attempted with silicon cells on this scale.",12290605,"Solar energy",3599459,"August 2014",,,,-33.8674869,151.2069902,http://arena.govspace.gov.au/project/high-efficiency-siliconperovskite-solar-cells/
"High efficiency solar thermal power using Allam cycle",CSIRO,"This project builds on CSIRO's existing solar work in high temperature and high pressure power cycles, including supercritical CO2. It involves partnering with industry and research organisations to develop the components, materials and processes necessary to progress this technology to a commercial-scale system.",7046100,"Solar energy",2749748,"August 2014",,,,-32.926689,151.7789205,http://arena.govspace.gov.au/project/high-efficiency-solar-thermal-power-using-allam-cycle/
"High-energy algal fuels","James Cook University","James Cook University conducted 8 demonstration scale macroalgae projects to clean waste-water and produce bio-crude.",11000000,Bioenergy,5000000,"November 2013","June 2015",,,-19.2576268,146.8178707,http://arena.govspace.gov.au/project/high-energy-algal-fuels/
"High quality laser doping for solar cells through improved characterisation techniques","Australian National University (ANU)","This project developed innovative characterisation (measurement) approaches that allow high quality data to be collected quickly and accurately, thereby providing a way to rapidly improve laser doping.",1218519,"Solar energy",446582,"April 2013","April 2015",,,-35.277699,149.12,http://arena.govspace.gov.au/project/high-quality-laser-doping-for-solar-cells-through-improved-characterisation-techniques/
"High-temperature solar thermal energy storage via manganese-oxide based redox cycling","Australian National University","This project aims to develop an innovative energy storage system that uses concentrating solar thermal technology to drive a high-temperature redox (or reduction-oxidation) thermochemical cycle.",3068472,"Solar energy",1193534,"November 2014",,,,-35.282,149.128684,http://arena.govspace.gov.au/project/high-temperature-solar-thermal/
"Hybrid concentrating solar thermal systems for large-scale applications",CSIRO,"This project will further develop and prototype a new CSIRO-developed solar air conditioning technology, which is designed to provide high efficiency, low carbon heating and cooling for Australian commercial buildings.",1070582,"Solar energy",520011,"July 2012",,,,-37.5320743,143.8235591,http://arena.govspace.gov.au/project/hybrid-concentrating-solar-thermal-systems-for-large-scale-applications/
"Hybridisation of concentrated solar thermal with carbon capture and storage",CSIRO,"This project achieved the world's first practical demonstration of pilot scale Post-Combustion Carbon dioxide capture (PCC) process integrated with solar thermal energy and demonstrates an important low emissions energy solution to achieving substantial emissions reductions from Australian coal fired electricity generation with the potential for large scale deployment of solar thermal fields in Australia.",2162483,"Solar energy",667500,"22 June 2012","31 July 2015",,,-32.925689,151.7789205,http://arena.govspace.gov.au/project/hybridisation-of-concentrated-solar-thermal-with-carbon-capture-and-storage/
"Impact of small scale hydropower technologies on Australian native fish species","Waratah Power Pty Ltd","This project produced detailed scientific information on the effects small hydro has on native fish species, which could be used to improve the design and operation of small hydro systems.",1124331,Hydropower,613377,"April 2012","30 May 2014",,,-33.885506,151.277797,http://arena.govspace.gov.au/project/impact-of-small-scale-hydropower-technologies-on-australian-native-fish-species-2/
"Improved high-temperature receivers for dish concentrators","Australian National University","This project is investigating heat loss from high-temperature solar thermal receivers and developing the next generation of improved receiver designs to reduce that loss.",3340000,"Solar energy",1436210,"May 2012",,,,-35.282,149.129684,http://arena.govspace.gov.au/project/improved-high-temperature-receivers-for-dish-concentrators/
"Improved measurement of contaminants in silicon solar cells","University of NSW","This project aims to compare, understand and further develop techniques that accurately identify the type and amount of efficiency-reducing contaminants in silicon solar cells. It will also investigate the lifetime effects of contamination in order to minimise its impact.",1000000,"Solar energy",490166,"April 2012",,,,-33.9080068,151.2229804,http://arena.govspace.gov.au/project/improved-measurement-of-contaminants-in-silicon-solar-cells/
"Improving solar cell performance testing","University of NSW","This project is investigating factors that can deteriorate solar cell performance, using an innovative measurement system in combination with advanced simulation tools.",926638,"Solar energy",381328,"August 2014",,,,-33.8674869,151.2069902,http://arena.govspace.gov.au/project/improving-solar-cell-performance-testing/
"Improving solar-thermal receivers for reduced heat loss","Australian National University","This project will investigate novel configurations of tube banks for central tower receivers, including bladed concepts and incorporating the use of active airflow techniques.",3527985,"Solar energy",1361327,"December 2014",,,,-35.282,149.128684,http://arena.govspace.gov.au/project/improving-solar-thermal-receivers-for-reduced-heat-loss/
"Improving the accessibility of the System Advisor Model for Australian concentrating solar power users","Australian Solar Thermal Energy Association (AUSTELA)","This project developed the necessary tools and additions to allow the System Advisor Model (SAM) to provide the same level of benefit for application to Australian geographical and market conditions as it does to the US.",,"Solar energy",73500,"December 2012","30 April 2013",,,-33.8764869,151.2059902,http://arena.govspace.gov.au/project/improving-the-accessibility-of-the-system-advisor-model-for-australian-concentrating-solar-power-users/
"Improving translation models for predicting the energy yield of photovoltaic (PV) power systems",CSIRO,"To reduce the investment risk for large-scale photovoltaic power plants, CSIRO and its partners investigated the relationship between the manufacturer's power rating for solar panels and the energy the panels generate over time.",3189680,"Solar energy",1318722,"September 2012","December 2014",,,-32.8916357,151.7287974,http://arena.govspace.gov.au/project/improving-translation-models-for-predicting-the-energy-yield-of-photovoltaic-pv-power-systems/
"Industry ready n-type silicon solar cells","Australian National University","This project successfully increased the amount of energy a solar cell can convert from sunlight without extra manufacturing costs per cell by combining the existing fast and inexpensive methods used to make today's standard silicon solar cells with the latest advances in high efficiency silicon solar cells.",10953485,"Solar energy",3335254,"April 2011","15 October 2014",,,-35.2776999,149.118527,http://arena.govspace.gov.au/project/industry-ready-n-type-silicon-solar-cells/
"Inline inspection tools for photovoltaic manufacturing","BT Imaging Pty Ltd","This project developed two inline inspection tools, which are integrated into solar cell manufacturing 'lines' to help solar research organisations reduce the cost of manufacturing photovoltaic cells.",5178333,"Solar energy",2250000,"July 2010","31 March 2013",,,-33.8764869,151.2069902,http://arena.govspace.gov.au/project/inline-inspection-tools-for-photovoltaic-manufacturing/
"Integrated PV solar roofing","BlueScope Steel Limited","BlueScope is developing an aesthetically pleasing rooftop energy system that captures the sun's energy as both electricity and heat.",5050000,"Solar energy",2284800,"June 2012",,,,-34.4800735,150.900495,http://arena.govspace.gov.au/project/integrated-pv-solar-roofing/
"Integrated solar radiation data sources over Australia",CSIRO,"CSIRO and its partners are developing Australia's first comprehensive solar radiation data set to help the solar energy industry measure and characertise the expected output of large scale solar power plants.",1430000,"Solar energy",712581,"September 2013",,,,-35.27614,149.146249,http://arena.govspace.gov.au/project/integrated-solar-radiation-data-sources-over-australia/
"Intelligent storage for Australia's grid","Reposit Power Pty Ltd","<p>The project involves piloting GridCredits, a battery storage control module that allows consumers to monitor electricity usage and access their solar power overnight and at peak times.</p>
",932487,"Hybrid and enabling technologies",445666,"December 2014",,,,-35.3276631,149.1763502,http://arena.govspace.gov.au/project/intelligent-storage-for-australias-grid/
